"Excel Raw Data Export"
"Copyright (c) 2008 Corbett Life Science, a QIAGEN Company. All rights reserved."
"File","20200527_1_IV11-16_junginiai_Hsp90aN_10uM_100ANS_Hepes75_MG.rex"
"Date","2020-05-27"
"Time","13:53:24"


"Channel Melt A.Blue"

"ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32"
"Page 1"," 200uM IV11 Hsp90aN 10uM"," 100uM IV11 Hsp90aN 10uM"," 50uM IV11 Hsp90aN 10uM"," 25uM IV11 Hsp90aN 10uM"," 200uM IV12 Hsp90aN 10uM"," 100uM IV12 Hsp90aN 10uM"," 50uM IV12 Hsp90aN 10uM"," 25uM IV12 Hsp90aN 10uM"," 200uM IV13 Hsp90aN 10uM"," 100uM IV13 Hsp90aN 10uM"," 50uM IV13 Hsp90aN 10uM"," 25uM IV13 Hsp90aN 10uM"," 200uM IV14 Hsp90aN 10uM"," 100uM IV14 Hsp90aN 10uM"," 50uM IV14 Hsp90aN 10uM"," 25uM IV14 Hsp90aN 10uM"," 200uM IV15 Hsp90aN 10uM"," 100uM IV15 Hsp90aN 10uM"," 50uM IV15 Hsp90aN 10uM"," 25uM IV15 Hsp90aN 10uM"," 200uM IV16 Hsp90aN 10uM"," 100uM IV16 Hsp90aN 10uM"," 50uM IV16 Hsp90aN 10uM"," 25uM IV16 Hsp90aN 10uM"," 200uM ICPD26 Hsp90aN 10uM"," 100uM ICPD26 Hsp90aN 10uM"," 50uM ICPD26 Hsp90aN 10uM"," 25uM ICPD26 Hsp90aN 10uM"," 0uM control Hsp90aN 10uM"," 0uM control Hsp90aN 10uM"," 0uM control Hsp90aN 10uM"," 0uM control Hsp90aN 10uM"
"25","7.92117625260221","7.92436220222899","7.74624246585794","7.91954974147696","9.39070725566491","9.05387128321438","8.77448255566818","9.42444143176576","9.92948152023455","9.21950102998398","9.43988490337769","10.100768233064","9.09519086493222","8.96249550403819","9.01515729508405","10.3362579791969","9.77309834439612","9.11612115663386","9.97306195749775","10.1693751430533","8.01394293125811","7.75415808346685","8.73833320617482","7.43667505912871","7.30093334350602","7.45043542708912","7.83430882080459","8.10986495765621","10.6134126802472","10.3499402354976","10.0075708224026","9.92192467129524"
"25.5","7.88967727168689","7.88977264057374","7.72378990506709","7.85229266803998","9.34582393268591","8.97317681936588","8.66163118944076","9.40260929274433","9.86984054322118","9.16162573979008","9.40026957605351","10.0354517942067","9.04522120132099","8.95810224718442","8.98298619058518","10.2334043464737","9.73819878145811","9.07841376598529","9.91103990234226","10.1141492214964","8.00534065766384","7.72094770263688","8.71947462013839","7.43372595970445","7.30520586963709","7.4597288980443","7.8066329794414","8.09196103863076","10.5529215577282","10.3098671375165","9.89216957859668","9.83738968998754"
"26","7.85748073548485","7.86439089254379","7.68729177793037","7.81305518316276","9.30891889829862","8.93603535397996","8.59457472412382","9.35519733185103","9.77710928729468","9.106991175199","9.32202258335241","9.95832379644465","9.00631069548442","8.95328196129295","8.92919813839933","10.1633302228404","9.66036938570699","9.05710143979771","9.8714972370271","10.0236514839399","7.98229953459983","7.70972980631942","8.70505400603821","7.52304992634588","7.28272424404263","7.43302169715537","7.80557658561778","8.04577706569009","10.5325398641947","10.2136849950995","9.8313878080415","9.80380419153594"
"26.5","7.79507133592737","7.8313660094388","7.64772640573739","7.81218323905438","9.29532663110141","8.9087891966125","8.55408051677221","9.29591351655897","9.7336210748891","9.08073368967637","9.26642252231632","9.91073472190432","9.01080456127377","8.94214586727344","8.91631600260577","10.0769490675648","9.6209404643829","8.98797080440477","9.82904809135068","9.94975422075445","7.98301162228834","7.69136867557559","8.658986292312","7.57581826504921","7.29451672916997","7.42525804095958","7.79398140579189","8.03091859311818","10.4768444342718","10.1748247937307","9.79171435111009","9.75438843600894"
"27","7.7703008570484","7.80308232242313","7.58475115078457","7.76902200568944","9.24860216460125","8.86876151238705","8.4531166552224","9.28164686461779","9.68337529564355","8.99244678416113","9.17772945754177","9.82997928294335","8.93840804804412","8.8629485516645","8.87955182072829","10.052316646503","9.57538837145154","8.92510363419038","9.78092404276886","9.86883110023416","7.97687168252515","7.69092851148241","8.60679261228586","7.54911497672999","7.27702754253453","7.40465836139904","7.76998931868467","7.97696785283122","10.4178428829379","10.0830442922455","9.74065531630192","9.72926135434719"
"27.5","7.75990622637453","7.7958342870222","7.58119071234201","7.70850573093649","9.2349948060637","8.84097556013326","8.43035528089316","9.24969209473673","9.65601804924304","8.97259098191806","9.14211599036502","9.77513288064901","8.94305841662216","8.82448310063325","8.81675822079804","9.98944584318811","9.54463557347512","8.8769946769489","9.74125785203835","9.84336027137583","7.95198494443173","7.67931084708379","8.59137429290782","7.52762763291488","7.28172262619505","7.38434932987462","7.75809363953104","7.94493672955564","10.3560634071048","10.0428342543243","9.67748967291196","9.68261234454871"
"28","7.70275425345235","7.77457338317947","7.56115053025101","7.68568322270542","9.20228013384342","8.80318404923578","8.41026423539584","9.20881971465629","9.58233877208471","8.90462021384429","9.05895432102802","9.69525553412026","8.89183896645558","8.6349533328247","8.82358810031046","9.93808358422686","9.47241931792172","8.85346402236793","9.67633267015276","9.7085526817731","7.90895450268305","7.65087357900359","8.56412603952087","7.50314717326619","7.26573586633097","7.3815518425269","7.7570998468229","7.95757991912718","10.3303578240635","9.97493999096196","9.6779074794639","9.65966512315791"
"28.5","7.71000228885328","7.76488027117462","7.48237038005864","7.65534955875995","9.1929067346783","8.75906004425116","8.38025482566568","9.18222541935062","9.54898690993907","8.83942422624043","9.01878620349666","9.66146769992043","8.89305968820732","8.59845883878843","8.76000101726813","9.86381322957198","9.46412222476539","8.78929833930978","9.65092444240991","9.69690496172528","7.90630960555428","7.60662241550317","8.52922102693217","7.48478499451262","7.23201342793927","7.37214211235727","7.71343556878004","7.955341929249","10.2988588431482","9.95825567581118","9.57554487424023","9.59554055085069"
"29","7.6857658757407","7.7184827837151","7.48465923334314","7.64456651661962","9.16808986390126","8.72032756033672","8.32627603570611","9.13710231174182","9.51229473249588","8.83517713181252","9.00810488816897","9.61095363018","8.88980443020269","8.60379949645228","8.72935944805938","9.84339157193357","9.43430110745286","8.80249376014997","9.60851071946288","9.64557987217635","7.89102710823929","7.59953786962256","8.55115587090867","7.52494176887967","7.26575934174927","7.37719212198498","7.72727768150062","7.9251544975967","10.2778667887388","9.89723635638032","9.56958658949961","9.60997940032044"
