temperature,200.00 uM  VD11-31-2 5 uM CAXIII,133.33 uM  VD11-31-2 5 uM CAXIII,88.89 uM  VD11-31-2 5 uM CAXIII,59.26 uM  VD11-31-2 5 uM CAXIII,39.51 uM  VD11-31-2 5 uM CAXIII,26.34 uM  VD11-31-2 5 uM CAXIII,17.56 uM  VD11-31-2 5 uM CAXIII,11.71 uM  VD11-31-2 5 uM CAXIII,7.80 uM  VD11-31-2 5 uM CAXIII,5.20 uM  VD11-31-2 5 uM CAXIII,0 uM  VD11-31-2 5 uM CAXIII,200.00 uM  VD12-13 5 uM CAXIII,133.33 uM  VD12-13 5 uM CAXIII,88.89 uM  VD12-13 5 uM CAXIII,59.26 uM  VD12-13 5 uM CAXIII,39.51 uM  VD12-13 5 uM CAXIII,26.34 uM  VD12-13 5 uM CAXIII,17.56 uM  VD12-13 5 uM CAXIII,11.71 uM  VD12-13 5 uM CAXIII,7.80 uM  VD12-13 5 uM CAXIII,5.20 uM  VD12-13 5 uM CAXIII,0 uM  VD12-13 5 uM CAXIII,200.00 uM  VD12-22 5 uM CAXIII,133.33 uM  VD12-22 5 uM CAXIII,88.89 uM  VD12-22 5 uM CAXIII,59.26 uM  VD12-22 5 uM CAXIII,39.51 uM  VD12-22 5 uM CAXIII,26.34 uM  VD12-22 5 uM CAXIII,17.56 uM  VD12-22 5 uM CAXIII,11.71 uM  VD12-22 5 uM CAXIII,7.80 uM  VD12-22 5 uM CAXIII,5.20 uM  VD12-22 5 uM CAXIII,0 uM  VD12-22 5 uM CAXIII
33.5,35.538,34.575,36.482,37.453,33.543,32.35,34.058,33.96,37.724,34.281,41.169,34.699,29.649,32.508,34.23,35.122,34.51,33.968,35.889,38.771,36.311,42.953,37.666,35.486,39.076,38.27,40.499,37.679,37.685,38.865,41.011,38.359,44.166
34.0,35.028,33.929,35.785,36.702,32.944,31.672,33.286,33.405,37.06,33.677,40.387,34.375,29.29,31.915,33.622,34.64,34.022,33.313,35.129,37.939,35.56,42.25,36.967,34.925,38.391,37.561,39.668,36.968,37.049,38.035,40.192,37.652,43.52
34.5,34.573,33.36,35.233,35.992,32.197,31.066,32.577,32.658,36.307,32.852,39.791,34.106,29.0,31.569,33.166,34.059,33.425,32.839,34.509,37.158,34.894,41.539,36.272,34.253,37.616,36.621,38.993,36.199,36.341,37.337,39.379,37.124,42.778
35.0,34.114,32.762,34.423,35.174,31.558,30.374,31.879,31.921,35.552,32.152,39.148,33.68,28.619,31.131,32.668,33.489,32.795,32.199,33.867,36.478,34.174,40.801,35.651,33.641,36.86,35.891,38.198,35.482,35.635,36.6,38.545,35.195,42.076
35.5,33.751,32.151,33.847,34.702,30.975,29.742,31.322,31.335,34.831,31.553,38.512,33.375,28.307,30.641,32.287,32.959,32.381,31.49,33.353,35.818,33.578,40.02,34.963,33.044,36.189,35.221,37.399,34.9,35.263,35.843,37.844,34.435,41.303
36.0,33.326,31.551,33.237,34.011,30.365,29.085,30.767,30.822,34.225,30.87,37.934,33.102,27.924,30.229,31.627,32.356,31.75,30.938,32.67,35.058,32.815,39.254,34.362,32.648,35.352,34.493,36.727,34.169,34.359,35.09,36.943,33.77,40.647
36.5,32.829,30.938,32.62,33.253,29.858,28.523,29.93,30.164,33.445,30.082,37.326,32.736,27.526,29.787,31.186,31.873,31.179,30.279,32.143,34.314,32.286,38.482,33.67,32.029,34.649,33.824,36.079,33.412,32.764,34.309,36.299,33.138,40.109
37.0,32.44,30.436,31.963,32.57,29.32,27.975,29.531,29.614,32.892,29.555,36.768,32.355,27.154,29.289,30.723,31.294,30.555,29.674,31.485,33.815,31.627,37.787,33.206,31.51,33.952,33.109,35.46,32.818,31.926,33.737,35.477,32.533,39.461
37.5,32.019,29.828,31.344,32.002,28.757,27.444,28.826,29.158,32.27,28.915,36.113,32.039,26.912,28.877,30.298,30.831,30.091,29.228,30.844,33.129,30.936,37.185,32.508,30.904,33.228,32.468,34.744,32.055,31.319,32.951,34.836,31.855,38.752
38.0,31.614,29.328,30.859,31.345,28.226,26.964,28.337,28.589,31.686,28.291,35.488,31.743,26.578,28.468,29.848,30.181,29.56,28.748,30.306,32.583,30.384,36.264,32.076,30.391,32.582,31.901,34.028,31.513,30.795,32.359,34.067,31.231,38.277
38.5,31.295,28.784,30.13,30.789,27.758,26.43,27.815,28.125,31.092,27.851,34.983,31.314,26.169,27.959,29.333,29.793,29.056,28.14,29.699,31.97,29.834,35.713,31.375,29.861,32.007,31.235,33.555,30.96,30.319,31.675,33.465,30.651,37.596
39.0,30.798,28.273,29.503,30.206,27.237,25.912,27.33,27.683,30.576,27.273,34.313,31.02,25.867,27.6,28.88,29.295,28.606,27.665,29.147,31.306,29.272,35.033,30.776,29.318,31.278,30.658,32.799,30.264,29.72,31.065,32.804,30.138,36.953
39.5,30.39,27.749,28.892,29.621,26.779,25.489,26.864,27.223,30.01,26.695,33.771,30.762,25.444,27.135,28.425,28.849,28.13,27.235,28.6,30.843,28.71,34.424,30.251,28.811,30.711,30.159,32.294,29.655,29.147,30.581,32.139,29.658,36.22
40.0,29.969,27.242,28.442,29.196,26.377,25.075,26.459,26.69,29.423,26.281,33.226,30.381,25.212,26.718,28.077,28.335,27.661,26.618,28.192,30.278,28.226,33.752,29.805,28.417,30.149,29.611,31.676,29.055,28.721,29.997,31.69,29.099,35.705
40.5,29.576,26.651,27.823,28.649,25.916,24.672,26.004,26.451,29.098,25.877,32.744,30.027,24.824,26.29,27.655,27.89,27.225,26.225,27.684,29.795,27.701,33.071,29.253,28.021,29.54,29.13,31.037,28.639,28.309,29.494,31.15,28.645,35.011
41.0,29.221,26.276,27.459,28.173,25.568,24.241,25.563,26.05,28.518,25.426,32.207,29.751,24.516,25.953,27.308,27.572,26.797,25.869,27.257,29.335,27.219,32.562,28.792,27.518,28.967,28.579,30.37,28.146,27.728,29.011,30.528,28.249,34.57
41.5,28.81,25.793,26.917,27.695,25.152,23.865,25.147,25.656,28.06,24.994,31.606,29.392,24.213,25.602,26.935,27.225,26.355,25.385,26.86,28.796,26.897,31.949,28.416,27.054,28.524,28.086,29.969,27.671,27.389,28.511,30.21,27.833,34.049
42.0,28.372,25.376,26.527,27.259,24.733,23.535,24.87,25.341,27.695,24.65,31.038,29.149,23.933,25.173,26.549,26.825,25.928,25.052,26.442,28.407,26.445,31.47,27.896,26.655,27.978,27.627,29.483,27.31,26.923,28.17,29.701,27.421,33.682
