temperature,200.00 uM  VD11-31-2 5 uM CAXIII,133.33 uM  VD11-31-2 5 uM CAXIII,88.89 uM  VD11-31-2 5 uM CAXIII,59.26 uM  VD11-31-2 5 uM CAXIII,39.51 uM  VD11-31-2 5 uM CAXIII,26.34 uM  VD11-31-2 5 uM CAXIII,17.56 uM  VD11-31-2 5 uM CAXIII,11.71 uM  VD11-31-2 5 uM CAXIII,7.80 uM  VD11-31-2 5 uM CAXIII,5.20 uM  VD11-31-2 5 uM CAXIII,0 uM  VD11-31-2 5 uM CAXIII,200.00 uM  VD12-13 5 uM CAXIII,133.33 uM  VD12-13 5 uM CAXIII,88.89 uM  VD12-13 5 uM CAXIII,59.26 uM  VD12-13 5 uM CAXIII,39.51 uM  VD12-13 5 uM CAXIII,26.34 uM  VD12-13 5 uM CAXIII,17.56 uM  VD12-13 5 uM CAXIII,11.71 uM  VD12-13 5 uM CAXIII,7.80 uM  VD12-13 5 uM CAXIII,5.20 uM  VD12-13 5 uM CAXIII,0 uM  VD12-13 5 uM CAXIII,200.00 uM  VD12-22 5 uM CAXIII,133.33 uM  VD12-22 5 uM CAXIII,88.89 uM  VD12-22 5 uM CAXIII,59.26 uM  VD12-22 5 uM CAXIII,39.51 uM  VD12-22 5 uM CAXIII,26.34 uM  VD12-22 5 uM CAXIII,17.56 uM  VD12-22 5 uM CAXIII,11.71 uM  VD12-22 5 uM CAXIII,7.80 uM  VD12-22 5 uM CAXIII,5.20 uM  VD12-22 5 uM CAXIII,0 uM  VD12-22 5 uM CAXIII
65.0,35.033,36.361,40.119,42.161,39.758,38.84,40.655,41.161,41.369,36.078,35.545,19.323,17.186,17.791,18.343,18.644,17.806,16.974,18.432,20.596,21.59,36.577,20.01,19.238,20.255,21.749,23.733,24.127,24.901,30.028,33.664,33.922,37.399
65.5,37.096,37.512,40.093,41.282,38.425,37.378,38.982,39.654,39.535,34.847,34.439,19.186,17.146,17.694,18.333,18.632,17.83,16.986,18.551,20.813,21.983,35.496,20.343,19.44,20.598,22.4,24.622,25.323,26.209,31.447,34.902,34.472,36.149
66.0,38.673,37.857,39.619,39.952,37.022,35.914,37.636,38.141,38.096,33.397,33.356,19.083,17.083,17.629,18.385,18.668,17.852,17.03,18.712,21.098,22.331,34.513,20.558,19.802,21.203,23.164,25.612,26.611,27.484,32.91,35.798,34.611,35.04
66.5,39.302,37.495,38.508,38.553,35.611,34.229,36.0,36.725,36.439,31.85,32.333,18.909,17.024,17.605,18.498,18.614,17.959,17.092,18.968,21.489,22.802,33.534,20.975,20.262,21.753,24.159,26.695,27.967,28.865,34.095,36.237,34.332,34.239
67.0,39.248,36.701,37.378,37.084,34.344,33.113,34.578,34.989,35.649,30.693,31.173,18.875,16.987,17.539,18.517,18.735,18.19,17.153,19.262,21.793,23.372,32.659,21.404,20.754,22.478,25.189,27.935,29.245,30.031,34.915,36.399,33.806,33.177
67.5,38.586,35.561,35.837,35.823,33.175,32.106,33.379,33.695,34.613,29.522,30.547,18.754,16.971,17.549,18.586,18.734,18.32,17.258,19.565,22.344,23.867,31.867,21.97,21.494,23.269,26.377,29.061,30.45,30.975,35.341,36.053,32.998,32.451
68.0,37.422,34.271,34.594,34.603,31.96,30.797,32.253,32.729,33.407,28.727,29.587,18.699,16.94,17.523,18.606,18.909,18.499,17.476,19.967,22.914,24.43,30.905,22.718,22.279,24.29,27.539,30.223,31.369,31.531,35.083,35.268,31.858,31.538
68.5,36.139,33.101,33.328,33.31,30.917,29.756,31.145,31.597,32.226,27.77,28.782,18.737,16.93,17.546,18.778,19.033,18.617,17.769,20.372,23.47,24.837,30.302,23.49,23.249,25.334,28.7,31.241,31.907,31.814,34.623,34.312,30.788,30.751
69.0,34.899,31.942,32.201,32.323,30.043,28.799,30.246,30.698,31.019,27.099,28.204,18.669,16.944,17.689,18.812,19.265,19.036,18.182,21.043,24.154,25.442,29.425,24.45,24.24,26.444,29.817,32.017,32.014,31.622,33.797,33.208,29.818,30.022
69.5,33.699,30.835,31.268,31.304,29.226,27.975,29.182,29.824,30.266,26.377,27.498,18.757,17.105,17.706,19.049,19.552,19.329,18.582,21.709,24.877,25.974,28.87,25.503,25.405,27.514,30.53,32.388,31.813,30.93,32.662,32.207,28.987,29.453
70.0,32.628,29.969,30.244,30.409,28.201,27.172,28.357,28.816,29.455,25.533,26.902,18.862,17.233,17.878,19.3,19.873,19.792,19.046,22.477,25.597,26.382,28.197,26.494,26.419,28.158,30.927,32.44,31.03,30.187,31.501,31.262,28.048,28.809
70.5,31.574,28.894,29.407,29.52,27.494,26.492,27.655,28.006,28.571,24.873,26.227,18.969,17.388,18.216,19.646,20.357,20.209,19.595,23.241,26.204,26.664,27.683,27.39,27.26,28.729,31.001,31.99,30.257,29.243,30.523,30.291,27.275,28.172
71.0,30.557,28.116,28.564,28.845,26.75,25.788,26.944,27.371,27.993,24.237,25.705,19.272,17.671,18.478,20.055,20.849,20.802,20.247,24.036,26.82,26.812,27.037,28.316,27.886,28.929,30.6,31.329,29.284,28.305,29.621,29.385,26.403,27.627
71.5,29.872,27.497,27.962,28.075,26.128,25.097,26.217,26.683,27.249,23.673,25.187,19.503,18.0,18.931,20.471,21.424,21.386,20.968,24.865,27.28,26.835,26.446,28.809,28.06,28.669,30.063,30.517,28.405,27.38,28.776,28.717,25.734,26.993
72.0,28.936,26.651,27.232,27.335,25.546,24.463,25.591,26.126,26.687,23.11,24.772,19.893,18.446,19.446,21.089,22.135,22.052,21.66,25.447,27.556,26.666,26.026,29.067,27.95,28.188,29.251,29.561,27.382,26.614,27.954,27.901,25.124,26.477
72.5,28.199,26.032,26.548,26.712,24.876,23.866,24.935,25.493,26.095,22.594,24.174,20.374,18.913,20.034,21.783,22.888,22.757,22.25,25.967,27.646,26.276,25.473,28.838,27.495,27.402,28.316,28.69,26.447,25.823,27.122,27.218,24.536,25.893
73.0,27.576,25.441,25.921,26.085,24.371,23.235,24.378,24.887,25.549,22.189,23.737,21.022,19.652,20.806,22.515,23.679,23.468,22.788,26.326,27.497,25.882,24.982,28.438,26.803,26.713,27.559,27.973,25.718,25.033,26.239,26.588,23.998,25.428
73.5,26.834,24.871,25.435,25.574,23.823,22.749,23.868,24.316,24.966,21.677,23.321,21.739,20.303,21.576,23.248,24.554,24.132,23.234,26.41,27.224,25.316,24.53,27.73,26.041,25.867,26.702,27.236,24.994,24.441,25.621,26.049,23.395,25.021
74.0,26.25,24.343,24.823,24.982,23.302,22.267,23.406,23.873,24.535,21.225,22.872,22.694,21.054,22.317,23.929,25.2,24.49,23.29,26.206,26.663,24.706,24.107,27.06,25.383,25.202,25.941,26.506,24.359,23.703,24.865,25.47,22.954,24.499
74.5,25.619,23.733,24.375,24.466,22.871,21.873,22.883,23.44,24.04,20.91,22.428,23.516,21.831,23.078,24.583,25.622,24.6,23.211,25.897,26.102,24.256,23.704,26.216,24.674,24.42,25.346,25.904,23.745,23.149,24.44,24.902,22.467,24.072
75.0,25.007,23.314,23.865,24.011,22.361,21.444,22.374,22.847,23.534,20.51,22.127,24.41,22.512,23.561,24.926,25.799,24.632,22.92,25.282,25.428,23.598,23.309,25.579,24.017,23.901,24.813,25.287,23.171,22.658,23.833,24.506,22.083,23.649
75.5,24.537,22.849,23.339,23.551,22.008,20.973,21.879,22.53,23.286,20.086,21.751,25.03,22.981,23.945,25.066,25.801,24.332,22.502,24.572,24.962,23.123,22.872,24.99,23.423,23.248,24.238,24.632,22.569,22.068,23.347,23.963,21.642,23.313
76.0,24.027,22.355,22.879,23.11,21.565,20.546,21.525,22.076,22.825,19.797,21.358,25.351,23.097,23.909,24.893,25.446,23.848,21.823,23.93,24.267,22.568,22.52,24.468,22.894,22.78,23.698,24.156,22.082,21.647,22.859,23.518,21.255,22.885
76.5,23.51,21.951,22.47,22.734,21.197,20.231,21.168,21.669,22.349,19.433,21.068,25.435,22.929,23.774,24.518,25.009,23.397,21.322,23.388,23.747,22.106,22.295,23.84,22.349,22.211,23.105,23.633,21.666,21.236,22.515,23.051,20.879,22.494
77.0,23.085,21.508,22.049,22.275,20.793,19.822,20.777,21.226,22.007,19.098,20.625,25.24,22.693,23.297,24.041,24.396,22.766,20.763,22.638,23.17,21.545,21.913,23.306,21.87,21.745,22.648,23.109,21.232,20.758,22.023,22.687,20.52,22.199
77.5,22.633,21.092,21.572,21.857,20.45,19.454,20.375,20.903,21.572,18.794,20.395,24.785,22.247,22.788,23.569,23.753,22.26,20.18,22.149,22.76,21.222,21.571,22.755,21.397,21.351,22.213,22.649,20.734,20.338,21.643,22.268,20.109,21.952
78.0,22.194,20.787,21.34,21.577,20.087,19.187,20.055,20.561,21.219,18.509,20.075,24.201,21.654,22.243,23.049,23.195,21.701,19.833,21.71,22.379,20.779,21.267,22.394,20.992,20.977,21.827,22.289,20.353,20.024,21.291,21.901,19.864,21.471
78.5,21.789,20.292,20.847,21.261,19.693,18.874,19.696,20.227,20.886,18.204,19.805,23.695,21.107,21.708,22.536,22.621,21.261,19.587,21.339,21.901,20.362,20.949,21.886,20.586,20.52,21.381,21.862,19.997,19.632,20.852,21.545,19.511,21.236
79.0,21.389,19.911,20.557,20.798,19.443,18.507,19.404,19.876,20.6,17.908,19.472,23.165,20.646,21.236,22.034,22.201,20.828,19.292,20.823,21.526,20.04,20.696,21.578,20.139,20.189,21.044,21.551,19.701,19.359,20.563,21.082,19.224,20.932
79.5,21.04,19.646,20.191,20.499,19.194,18.216,19.117,19.574,20.259,17.621,19.194,22.646,20.231,20.799,21.641,21.725,20.466,19.056,20.342,21.167,19.704,20.404,21.217,19.816,19.805,20.761,21.2,19.336,19.068,20.227,20.838,19.0,20.635
80.0,20.703,19.349,19.912,20.191,18.819,17.95,18.776,19.307,19.918,17.398,18.956,22.242,19.847,20.324,21.265,21.37,20.056,18.737,19.965,20.798,19.394,20.18,20.916,19.473,19.464,20.366,20.847,19.054,18.691,19.907,20.533,18.65,20.36
80.5,20.358,18.988,19.551,19.879,18.545,17.652,18.539,19.044,19.639,17.169,18.658,21.712,19.472,20.039,20.832,20.827,19.657,18.437,19.634,20.487,19.077,19.9,20.52,19.093,19.155,20.083,20.464,18.689,18.405,19.613,20.28,18.406,20.033
81.0,20.07,18.675,19.275,19.568,18.37,17.418,18.256,18.762,19.365,16.967,18.379,21.346,19.057,19.699,20.512,20.476,19.343,18.197,19.317,20.186,18.74,19.702,20.227,18.745,18.836,19.735,20.246,18.424,18.16,19.311,19.897,18.188,19.822
81.5,19.739,18.396,18.978,19.299,18.056,17.139,17.976,18.478,19.095,16.755,18.192,20.959,18.736,19.347,20.134,20.155,18.976,17.889,19.002,19.822,18.435,19.401,19.902,18.514,18.566,19.45,19.919,18.221,17.916,19.034,19.735,17.948,19.603
82.0,19.366,18.115,18.688,19.052,17.784,16.938,17.696,18.196,18.879,16.528,18.006,20.621,18.347,18.962,19.747,19.821,18.688,17.578,18.679,19.558,18.146,19.217,19.613,18.191,18.277,19.141,19.616,17.976,17.605,18.717,19.326,17.638,19.387
82.5,19.136,17.832,18.421,18.772,17.576,16.727,17.485,17.928,18.635,16.262,17.777,20.281,18.095,18.695,19.516,19.512,18.401,17.39,18.376,19.296,17.906,19.03,19.234,17.964,17.995,18.83,19.359,17.679,17.408,18.514,19.07,17.47,19.094
83.0,18.836,17.57,18.241,18.443,17.271,16.494,17.217,17.765,18.318,16.078,17.464,19.984,17.854,18.407,19.215,19.26,18.152,17.15,18.093,19.024,17.667,18.688,19.041,17.674,17.805,18.623,19.151,17.43,17.19,18.284,18.905,17.234,18.871
83.5,18.529,17.251,17.946,18.289,17.071,16.22,16.99,17.448,18.09,15.827,17.244,19.619,17.592,18.086,18.895,18.942,17.886,16.889,17.871,18.776,17.453,18.546,18.778,17.441,17.543,18.406,18.821,17.234,16.987,18.014,18.615,16.951,18.636
84.0,18.222,17.07,17.7,17.952,16.831,16.09,16.746,17.223,17.845,15.712,17.069,19.405,17.345,17.858,18.663,18.69,17.681,16.744,17.594,18.526,17.216,18.351,18.578,17.216,17.307,18.121,18.537,16.965,16.664,17.798,18.446,16.786,18.481
84.5,18.016,16.747,17.411,17.759,16.606,15.827,16.615,17.042,17.635,15.514,16.862,19.047,17.079,17.592,18.356,18.404,17.46,16.466,17.361,18.192,17.078,18.123,18.289,16.994,17.048,17.909,18.388,16.752,16.462,17.559,18.174,16.615,18.246
85.0,17.733,16.546,17.221,17.603,16.445,15.689,16.373,16.841,17.411,15.397,16.663,18.784,16.844,17.416,18.142,18.192,17.217,16.238,17.161,18.0,16.791,17.951,17.987,16.755,16.852,17.698,18.093,16.578,16.254,17.289,17.915,16.419,18.026
85.5,17.57,16.398,17.048,17.392,16.227,15.468,16.226,16.585,17.17,15.199,16.432,18.665,16.608,17.148,17.88,17.94,16.99,16.023,16.896,17.819,16.606,17.791,17.867,16.578,16.654,17.449,17.905,16.367,16.076,17.105,17.697,16.251,17.879
86.0,17.343,16.109,16.834,17.146,16.008,15.314,15.94,16.363,17.027,14.98,16.297,18.384,16.424,16.911,17.643,17.703,16.728,15.882,16.725,17.542,16.374,17.514,17.589,16.337,16.438,17.24,17.694,16.089,15.8,16.897,17.476,16.051,17.617
86.5,17.076,15.984,16.638,16.937,15.84,15.111,15.815,16.18,16.84,14.881,16.159,18.187,16.251,16.744,17.448,17.473,16.523,15.707,16.449,17.377,16.231,17.375,17.401,16.14,16.239,17.072,17.458,15.997,15.696,16.719,17.315,15.904,17.535
87.0,16.896,15.757,16.465,16.728,15.624,14.906,15.59,15.989,16.691,14.741,15.926,17.919,16.097,16.506,17.225,17.286,16.36,15.449,16.303,17.193,16.066,17.26,17.134,15.954,16.074,16.851,17.284,15.779,15.466,16.557,17.096,15.739,17.316
87.5,16.682,15.571,16.207,16.557,15.477,14.775,15.444,15.888,16.451,14.557,15.773,17.672,15.821,16.314,17.001,17.083,16.158,15.372,16.062,16.984,15.885,17.076,16.994,15.784,15.898,16.675,17.067,15.595,15.346,16.319,16.896,15.586,17.168
88.0,16.459,15.344,16.033,16.365,15.266,14.613,15.266,15.714,16.282,14.34,15.713,17.465,15.639,16.124,16.831,16.882,16.01,15.186,15.874,16.796,15.753,16.888,16.775,15.599,15.694,16.523,16.965,15.442,15.14,16.153,16.675,15.408,16.927
88.5,16.287,15.17,15.867,16.144,15.175,14.497,15.136,15.515,16.066,14.247,15.428,17.245,15.504,15.959,16.704,16.593,15.783,14.967,15.677,16.571,15.607,16.7,16.624,15.414,15.542,16.338,16.74,15.192,15.012,15.957,16.504,15.227,16.814
89.0,16.091,15.003,15.696,15.977,14.946,14.316,14.93,15.342,15.951,14.111,15.319,17.069,15.334,15.79,16.457,16.469,15.62,14.846,15.561,16.438,15.391,16.559,16.431,15.269,15.353,16.146,16.536,15.065,14.857,15.828,16.357,15.087,16.631
89.5,15.985,14.846,15.505,15.838,14.873,14.137,14.786,15.139,15.74,14.008,15.15,16.899,15.165,15.59,16.27,16.282,15.448,14.742,15.355,16.234,15.217,16.438,16.255,15.083,15.217,15.931,16.377,14.93,14.705,15.674,16.208,14.951,16.463
90.0,15.679,14.648,15.304,15.627,14.657,13.945,14.61,14.974,15.597,13.813,15.003,16.773,14.94,15.391,16.092,16.04,15.303,14.574,15.12,16.114,15.038,16.275,16.065,14.964,15.035,15.764,16.173,14.776,14.531,15.489,16.008,14.757,16.328
90.5,15.537,14.509,15.221,15.52,14.507,13.832,14.458,14.867,15.504,13.728,14.849,16.553,14.862,15.259,15.932,15.943,15.152,14.427,15.048,15.922,14.917,16.131,15.897,14.78,14.926,15.626,16.018,14.634,14.341,15.331,15.879,14.648,16.165
91.0,15.365,14.339,15.085,15.291,14.381,13.71,14.329,14.772,15.302,13.6,14.695,16.357,14.688,15.103,15.714,15.749,14.995,14.215,14.857,15.782,14.779,15.973,15.791,14.652,14.803,15.485,15.899,14.527,14.272,15.103,15.689,14.57,15.981
91.5,15.257,14.213,14.853,15.131,14.246,13.606,14.154,14.588,15.143,13.428,14.571,16.188,14.491,14.916,15.624,15.559,14.802,14.136,14.711,15.575,14.64,15.815,15.604,14.496,14.611,15.233,15.755,14.392,14.127,14.983,15.573,14.419,15.866
92.0,15.047,14.035,14.745,14.971,14.086,13.438,14.023,14.416,14.991,13.375,14.426,16.02,14.331,14.796,15.461,15.408,14.639,13.97,14.506,15.447,14.483,15.681,15.417,14.316,14.461,15.147,15.544,14.238,13.973,14.85,15.384,14.263,15.703
92.5,14.92,13.865,14.621,14.855,13.951,13.369,13.923,14.287,14.835,13.234,14.322,15.901,14.279,14.637,15.322,15.312,14.591,13.843,14.419,15.33,14.39,15.553,15.197,14.21,14.326,15.022,15.452,14.116,13.83,14.664,15.257,14.148,15.569
93.0,14.743,13.774,14.478,14.753,13.874,13.194,13.76,14.175,14.726,13.092,14.243,15.741,14.133,14.474,15.151,15.134,14.397,13.771,14.326,15.21,14.287,15.402,15.146,14.088,14.182,14.925,15.322,14.011,13.707,14.566,15.145,14.06,15.461
93.5,14.615,13.623,14.363,14.594,13.702,13.048,13.632,14.044,14.585,12.994,14.085,15.577,14.006,14.368,15.021,14.978,14.297,13.631,14.121,15.082,14.16,15.24,14.983,13.934,14.064,14.748,15.143,13.872,13.624,14.449,15.017,13.881,15.294
94.0,14.49,13.471,14.179,14.421,13.61,12.987,13.545,13.95,14.464,12.914,13.962,15.454,13.872,14.25,14.948,14.811,14.099,13.551,14.045,14.942,14.018,15.159,14.881,13.835,13.925,14.583,14.973,13.707,13.482,14.338,14.831,13.813,15.168
94.5,14.372,13.358,14.087,14.282,13.469,12.9,13.368,13.787,14.285,12.776,13.879,15.292,13.756,14.127,14.767,14.727,14.005,13.417,13.876,14.805,13.952,15.075,14.712,13.68,13.836,14.47,14.878,13.637,13.359,14.2,14.686,13.713,15.041
95.0,14.187,13.269,13.973,14.206,13.395,12.804,13.29,13.697,14.18,12.716,13.729,15.127,13.671,13.992,14.615,14.532,13.87,13.261,13.755,14.644,13.791,14.898,14.613,13.6,13.698,14.331,14.776,13.513,13.252,14.085,14.538,13.62,14.955
95.5,14.072,13.11,13.88,14.027,13.261,12.632,13.178,13.578,14.086,12.581,13.63,14.993,13.49,13.869,14.521,14.448,13.738,13.178,13.648,14.493,13.706,14.816,14.464,13.48,13.579,14.254,14.617,13.399,13.118,13.94,14.46,13.478,14.854
96.0,13.948,13.017,13.704,13.957,13.089,12.528,13.077,13.476,14.011,12.49,13.529,14.886,13.401,13.76,14.394,14.345,13.629,13.146,13.585,14.43,13.61,14.607,14.364,13.364,13.477,14.127,14.528,13.304,13.058,13.783,14.335,13.391,14.726
96.5,13.813,12.943,13.6,13.85,13.042,12.434,12.939,13.347,13.873,12.41,13.39,14.729,13.322,13.587,14.267,14.226,13.543,13.018,13.407,14.272,13.476,14.566,14.221,13.261,13.349,13.979,14.417,13.201,12.963,13.713,14.24,13.314,14.635
97.0,13.691,12.79,13.475,13.725,12.933,12.339,12.835,13.224,13.75,12.295,13.287,14.609,13.213,13.536,14.107,14.088,13.431,12.959,13.323,14.186,13.381,14.42,14.108,13.116,13.233,13.903,14.246,13.07,12.831,13.591,14.119,13.202,14.473
97.5,13.585,12.71,13.36,13.574,12.828,12.284,12.745,13.115,13.644,12.221,13.179,14.537,13.112,13.39,14.048,13.975,13.361,12.811,13.157,14.072,13.306,14.38,14.039,13.017,13.167,13.794,14.169,13.003,12.769,13.472,14.006,13.112,14.388
98.0,13.472,12.574,13.214,13.494,12.716,12.164,12.651,12.994,13.533,12.116,13.127,14.419,13.017,13.272,13.924,13.816,13.204,12.683,13.093,14.0,13.141,14.233,13.845,12.95,13.006,13.684,14.075,12.892,12.652,13.398,13.876,12.974,14.323
98.5,13.397,12.483,13.188,13.38,12.643,12.052,12.59,12.871,13.39,12.094,13.044,14.269,12.875,13.187,13.858,13.796,13.135,12.636,12.976,13.873,13.077,14.132,13.783,12.82,12.935,13.593,13.97,12.785,12.506,13.318,13.761,12.922,14.163
99.0,13.281,12.383,13.062,13.314,12.557,11.997,12.486,12.841,13.294,11.954,12.925,14.133,12.761,13.058,13.693,13.626,13.027,12.575,12.856,13.751,12.974,14.04,13.691,12.737,12.853,13.483,13.838,12.7,12.446,13.179,13.657,12.839,14.079
