"Excel Raw Data Export"
"Copyright (c) 2008 Corbett Life Science, a QIAGEN Company. All rights reserved."
"File","170929_CA_1_CA2_CA4_CA5b_CA12_CA14_GZ1702.rex"
"Date","10/2/2017"
"Time","10:47:12"


"Channel Melt A.Blue"

"ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72"
"Page 1"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"25","1.43878704647759","1.49029780524402","1.32417792019532","1.48388119090797","1.57155209684393","1.43064229582884","1.40429952286212","1.46893517458864","1.62138006953754","1.73774827700211","1.79995422293431","2.15411612115663","1.19908168431858","1.32197626132165","1.39599704992243","1.43110551613642","1.40404800052317","1.24252035444528","1.43099107347219","1.37850003814755","1.45207199910793","1.29745283327339","1.3615116604359","1.50900827256973","1.29549095902953","1.23669286132092","1.20273790450032","1.30006866559853","1.36230367633435","1.27624111602139","1.3789460710953","1.21633478294041","1.24454930131286","1.23105093578886","1.32666296090421","1.45278604308131","1.81415898513633","1.84939345387961","1.75304362990332","1.60891126878767","1.60666601270859","1.73974648225049","1.78149080643931","1.51410187940286","2.14618142977035","1.74695455354645","1.84522265456118","1.61358287702989","1.5579461356527","1.63623665569191","1.62030467180387","1.5314971643651","1.52628366521706","1.46842654052542","1.41516528790505","1.21427905360155","1.53963530937667","1.60655701969504","1.51451661179288","1.47742545087475","1.8646524757763","1.77720654259908","1.595076422268","1.69189854930299","1.89555199511711","1.85952980413955","1.76251239795529","1.73772515727196","1.91849502446893","1.99933877571781","2.08755157255958","2.04881713236028"
"25.5","1.42227955915299","1.4715800717174","1.29854276340887","1.45145996141647","1.5546082246128","1.40433864855929","1.3697152012556","1.44982506621326","1.59434980217768","1.70314159785435","1.76406030834962","2.09623057279675","1.17647058823529","1.30586709391928","1.37877978688233","1.40746870433298","1.37874799725338","1.21792426438799","1.40922936070567","1.36001482304984","1.43218636352077","1.28152308513947","1.34540975923443","1.4787165988814","1.29864449022151","1.22442751419634","1.18742934032474","1.28189655770338","1.35052516467028","1.26061319469422","1.35792579029018","1.19560305415192","1.22367182930241","1.19590040945042","1.29790697082984","1.42497465912435","1.79238019933831","1.81531497164365","1.72569364970372","1.58522163729305","1.58365171869406","1.71765723150479","1.74938817191049","1.48339491438599","2.11515475191374","1.73244395034278","1.8142977035172","1.58268754972806","1.54562154104383","1.61616517304318","1.58682090016491","1.50225070572976","1.49680105505237","1.45024287276519","1.39151380396517","1.19565335861971","1.51815530162978","1.58836245263345","1.49421037496112","1.46472738370198","1.83718623636225","1.72742300551868","1.55992980849928","1.6721540456949","1.86417563134203","1.80886167696651","1.72649963906544","1.70249993642074","1.89211871519036","1.96950375480932","2.06138486523014","2.01419089036393"
"26","1.41298542763409","1.45052262149996","1.28034931422434","1.43164838518466","1.51244650672437","1.38671811136906","1.34911552169506","1.43475496554004","1.56993536714297","1.65982945108603","1.7290651669228","2.0481768936793","1.1675499292803","1.29243915465019","1.36345229501558","1.39543755245289","1.35576409552148","1.20892144146893","1.39406424048218","1.33950736834692","1.42061493858244","1.26792299280283","1.32537321024389","1.46435746801963","1.27438264540576","1.21137560082399","1.18035470289991","1.26392385748073","1.33774671197422","1.25408814628316","1.33831158922713","1.17278299127693","1.2111303665435","1.19020370794232","1.28120296579898","1.40173189898527","1.77473323959934","1.7944609750515","1.71040919610386","1.57273564918335","1.57473105973907","1.70786602578775","1.72592253503217","1.46753643091478","2.09310183217256","1.71740291447318","1.80056458381018","1.57723789905067","1.5273107147678","1.58301452876871","1.56176089112688","1.47493705653468","1.47211413748379","1.42484051387691","1.37835918563774","1.18480436173272","1.50641759247848","1.56928140906168","1.4777272776815","1.43129625391012","1.79893695480786","1.70072698340036","1.52984410365962","1.64775637881612","1.84340722221244","1.78316929884794","1.69069962615396","1.67173484179664","1.84939345387961","1.94463518221815","1.99211617202004","1.96116578927291"
"26.5","1.39925230792706","1.43610871466216","1.26039520866712","1.40904351364411","1.50519351709555","1.37197680628672","1.34834266214445","1.41563032476285","1.5579461356527","1.63691157396811","1.71640520919532","2.01703924111798","1.17100277205564","1.2892783572573","1.35817032589749","1.3881640853488","1.33375589086278","1.19707026779583","1.37871131691228","1.33089188982986","1.39887083237964","1.26568500292465","1.32244856438036","1.45494773785","1.28371971356636","1.1985961699855","1.17532616159304","1.25744513110043","1.33164310321555","1.24437323567559","1.32835654465318","1.17423259835711","1.19838809241419","1.17697922229852","1.28262978343088","1.39245510726399","1.78250807456575","1.7953765163653","1.70097403423107","1.57371379161262","1.56851845796684","1.7087924664029","1.72172630401058","1.46911682961122","2.0934360774141","1.71225299458305","1.7878487322296","1.57109236990217","1.5057064253946","1.56677456975008","1.54832121414863","1.45690961209386","1.45887987041569","1.41410442257318","1.36744311612703","1.17100277205564","1.48648304976984","1.56216480641238","1.47180202112681","1.43205920500496","1.7908222852146","1.67162584878309","1.51009820270521","1.64270306636981","1.8209561857994","1.76043335622187","1.66406569702518","1.66030874087638","1.82599628697134","1.91980294063151","1.87087346162649","1.93840441494367"
"27","1.39335215279367","1.42073231567395","1.24920525927621","1.38682710438261","1.49294270237278","1.35852245717203","1.31641761763071","1.39903432189997","1.53973703618931","1.60931817603825","1.68600454249344","1.9851987487602","1.15452107212235","1.27848804891606","1.34290291992283","1.37076880038656","1.32319195262661","1.18837262531472","1.36749446860456","1.31431041936879","1.39620050354772","1.25113080251556","1.31896637733214","1.43365446638507","1.27260242618448","1.18813925203865","1.16606670966936","1.24208438239109","1.32143129625391","1.23532681555112","1.32244856438036","1.16916805632759","1.1830828310572","1.16700999465934","1.26532504651067","1.36847994710206","1.76343429719488","1.77407928151806","1.69515995563146","1.55870908674754","1.55870908674754","1.68447864030377","1.70494137992421","1.45479514763104","2.07557910922525","1.69136720836194","1.76343429719488","1.56217171094717","1.4973169553165","1.55184252689403","1.52271166690942","1.42377573597532","1.44635182218153","1.38541746140739","1.35054081494915","1.16438074780945","1.48137358940746","1.55304145004305","1.46194145621932","1.40600987476703","1.75491467663589","1.64873731593805","1.48582182548765","1.61091674023695","1.80841208078562","1.73092795660889","1.65207522697795","1.63400649095316","1.8120088502327","1.90877648076092","1.83636459672166","1.90198621601689"
"27.5","1.39784378282891","1.40604950859014","1.23128568997189","1.36273964838854","1.47575087103583","1.34866278148494","1.30742073978513","1.39925230792706","1.5371703904549","1.58215711706213","1.68361508027335","1.95061163246103","1.15053025101091","1.26659418631266","1.33933521527937","1.36908639540821","1.32023237310488","1.17952239261463","1.35996032654307","1.310241346863","1.38735027084764","1.24081279723303","1.30998702983139","1.42682754035466","1.26693478947999","1.18515649300726","1.16411078049897","1.24422064545663","1.32003255258005","1.23407339589532","1.31292984119718","1.15934657477345","1.17058496550371","1.15714249383281","1.18201932347046","1.35429688187756","1.75533248318783","1.78263523308156","1.69649805447471","1.55489433127337","1.55153734645609","1.67734798199435","1.69741359578851","1.42387019658707","2.06770646001591","1.69789316504812","1.73800259403372","1.56557564660105","1.47777758214929","1.53696498054475","1.51264591439689","1.41251591926804","1.42755085762639","1.38364115475583","1.35663603962986","1.15968566414893","1.47109686935734","1.53753719386587","1.45462075880936","1.41044225731797","1.72782991276926","1.62672072720139","1.46920905446884","1.60311284046693","1.79246556449578","1.71652258628683","1.63036780111626","1.62394140535592","1.79340458122788","1.8899388549194","1.81462468255785","1.88143739986267"
"28","1.37734471220395","1.39490935554108","1.2242430644811","1.35271229114214","1.45418478675517","1.33516441596094","1.29620304671804","1.39264006510516","1.52496317293754","1.56029367748297","1.65601078304214","1.92502098115511","1.14181080992708","1.26619363698787","1.33833359743179","1.35713740749218","1.30769817654688","1.16491732879922","1.35521913045374","1.29712585423274","1.36873426413367","1.23510882952403","1.29974168655789","1.4175631342031","1.26485553814462","1.17928763843161","1.16065669281508","1.23809356127964","1.31309752275648","1.23058142742281","1.30593752017419","1.15238313224122","1.17705747369286","1.15154751913736","1.1783486216995","1.33770758627705","1.7507184456143","1.76664260436291","1.68858683850673","1.5525467894431","1.55087149822787","1.6729991607538","1.6987651091565","1.42084969276546","2.06853648373447","1.68225630070446","1.72168717831341","1.55570814577452","1.47656468553699","1.51827267872129","1.50806087175966","1.39925230792706","1.41023880369268","1.36776323546752","1.34150277890264","1.14340937412578","1.47237823593969","1.53289590803896","1.44848808524707","1.39085984588388","1.70478487713553","1.60524910353246","1.45140225923283","1.60043664278043","1.77533633427431","1.69974604627843","1.61207078390981","1.60557608257311","1.77665878283869","1.87186583158201","1.79922941939422","1.86388952468147"
"28.5","1.37331197070268","1.38870971098025","1.21728847180896","1.33071386790773","1.45456626230259","1.32190080461996","1.284046692607","1.37155131432998","1.51663778351808","1.5525467894431","1.64561615236827","1.89963923312516","1.13886799856129","1.26181938404415","1.3293877862429","1.3496604867628","1.30421040011335","1.15649514138871","1.35746606334842","1.29150013791808","1.3662693452119","1.22148470283055","1.29371073980825","1.41768051129461","1.25745239730133","1.18181124589914","1.15264303865814","1.23318328628468","1.3141539165801","1.23084819353988","1.29636290313791","1.15205615320058","1.16416164390529","1.14229037918669","1.1721471986979","1.33243959062224","1.75516899366751","1.76892754507769","1.68405105232755","1.55347742209724","1.54497596704051","1.67260678590502","1.68937717758958","1.41592823899988","2.05813687342641","1.68583581292439","1.73057653671066","1.55729217757142","1.45734558414806","1.5057133299294","1.49004348821241","1.37865262836652","1.39890017665252","1.35083034510821","1.3384509745233","1.13043920551359","1.45275425345235","1.53153629006227","1.44515653213296","1.38399328603037","1.68917372396429","1.5910998286828","1.43516969793005","1.59170672159915","1.76592660410468","1.67731863772148","1.58717303143945","1.59278756898349","1.76511670217324","1.85843148992611","1.78060069682867","1.83744055339386"
"29","1.38132295719844","1.38022939396251","1.21281480402561","1.31990539406424","1.43325812815399","1.32072703370483","1.27260242618448","1.37495524998386","1.50901553877063","1.54181516964763","1.63315131500071","1.87580329947004","1.13730576536711","1.26456600798555","1.32154028926746","1.34802559155958","1.29828844637725","1.15396353093767","1.34645609216449","1.29949645227741","1.36644541084916","1.23576278760531","1.29408243393137","1.41136415655756","1.26274275049738","1.17769130998703","1.1564304061443","1.23559929808499","1.30757101803108","1.22475449323698","1.28818842712182","1.15111713646848","1.16055760825731","1.14003967345693","1.16178377965972","1.32666296090421","1.75064578360527","1.76747158007172","1.69069962615396","1.55413138017853","1.538109407187","1.66519526098377","1.68775681478817","1.41145952544442","2.05772996617583","1.68208917808368","1.73091804815311","1.56369761313684","1.45336314711458","1.49843595025559","1.47953823852199","1.36377508201724","1.39434762231741","1.34899290455482","1.33739458069968","1.13738401676145","1.45962081330587","1.52132448310063","1.43797207598993","1.35852245717203","1.67274093115247","1.58106942268078","1.41908903639277","1.57788459093106","1.75373112429647","1.67508847298273","1.58737424931062","1.59844123222471","1.75195369976785","1.85756792989569","1.76769899818652","1.83696825033515"
